question_id,db_id,difficulty,question_type,category,subtype,reason
263,toxicology,challenging,aggregate,Predicate error,Filter value error,bond_type='single' and element='chlorine' - both wrong/invented values causing zero matches; also restructures the molecule-scoping into a duplicating direct atom-bond join
273,toxicology,moderate,aggregate,Predicate error,Filter value error,label LIKE '%carcinogenic%' and element='chlorine' instead of gold's '+' and 'cl'
281,toxicology,challenging,retrieval,GROUP BY errors,wrong column,"groups by molecule_id instead of gold's element, replacing the per-element COUNT(*) output with an arbitrary single row via LIMIT 3,1; also drops the SUBSTR atom_id filter"
282,toxicology,challenging,aggregate,Predicate error,Filter value error,element='H' (uppercase) instead of the stored lowercase code 'h'
327,toxicology,moderate,aggregate,Schema linking,wrong column,selects molecule.label instead of gold's molecule_id; also restructures the label='-' filter into NOT LIKE '%carcinogenic%'
723,superhero,moderate,aggregate,Predicate error,Filter value error,colour='blue' (case) doesn't match gold's stored 'Blue'
724,superhero,challenging,retrieval,Predicate error,Filter value error,colour='blue'/'blond' (case) don't match gold's stored 'Blue'/'Blond'
726,superhero,moderate,retrieval,Predicate error,Predicate semantic error,drops the height_cm IS NOT NULL AND height_cm != 0 filter entirely; also selects an extra height_cm column
728,superhero,moderate,aggregate,Nesting problem,wrong sub-query,missing RANK() OVER (ORDER BY COUNT(...) DESC) window function
732,superhero,moderate,retrieval,Invalid SQL,wrong column,"s.speed does not exist anywhere in this schema - Speed is a value in hero_attribute/attribute, not a column"
733,superhero,moderate,aggregate,Predicate error,Filter value error,colour='gold' (case) doesn't match gold's stored 'Gold'
736,superhero,moderate,retrieval,Predicate error,Filter value error,"attribute_name='intelligence' (lowercase) doesn't match the stored value 'Intelligence', causing the subquery to return no rows"
743,superhero,challenging,aggregate,Predicate error,Predicate semantic error,"uses alignment='Self-Centric' instead of gold's 'Bad', and computes the percentage over ALL superheroes instead of restricting the population (WHERE alignment='Bad') as gold does"
744,superhero,challenging,aggregate,Predicate error,Filter value error,"publisher_name IN ('DC','Marvel') instead of the real stored values 'DC Comics'/'Marvel Comics', so no rows match at all"
750,superhero,simple,aggregate,Predicate error,Predicate semantic error,drops the weight_kg > 0 filter entirely
753,superhero,moderate,retrieval,JOIN errors,missing table,"substitutes eye_colour_id IS NULL for gold's JOIN colour + colour='No Colour' - 'No Colour' is a specific categorical value, not the same as a NULL/missing eye_colour_id"
758,superhero,moderate,retrieval,Other,missing/redundant DISTINCT,"missing DISTINCT, otherwise identical to gold"
766,superhero,moderate,retrieval,Nesting problem,wrong sub-query,"replaces gold's WITH max_strength CTE (finding all heroes tied for max Strength) with ORDER BY attribute_value DESC LIMIT 1, dropping ties"
772,superhero,challenging,retrieval,Schema linking,wrong column,references h.hair_colour_id (colour table has no such column) when hair_colour_id actually lives on the already-joined superhero table (aliased sp)
775,superhero,challenging,aggregate,Schema linking,wrong column,uses eye_colour_id instead of gold's skin_colour_id - a different real column entirely
782,superhero,moderate,retrieval,Predicate error,Filter value error,colour='black' (case) doesn't match gold's stored 'Black'
788,superhero,challenging,aggregate,Predicate error,Predicate semantic error,"inverts which condition is the population restriction - filters WHERE publisher='Marvel Comics' and computes %Female within that, instead of gold's restricting to Female and computing %Marvel within Female; also uses INNER JOIN instead of gold's LEFT JOIN"
790,superhero,moderate,retrieval,Schema linking,wrong column,"filters on superhero_name = 'Emil Blonsky'/'Charles Chandler' instead of gold's full_name - these are civilian names, not superhero alias names"
791,superhero,simple,aggregate,Predicate error,Predicate semantic error,"drops the height_cm > 0 filter entirely, including zero/placeholder heights in the average"
794,superhero,moderate,retrieval,Nesting problem,wrong sub-query,"collapses gold's tie-preserving '= (SELECT MAX(...))' equality subquery to ORDER BY attribute_value DESC LIMIT 1, dropping ties"
797,superhero,moderate,retrieval,Predicate error,Filter value error,colour='blue'/'brown' (case) don't match gold's stored 'Blue'/'Brown'
800,superhero,moderate,aggregate,Predicate error,Filter value error,colour='blue' (case) doesn't match gold's stored 'Blue'
819,superhero,challenging,aggregate,Predicate error,Predicate semantic error,"substitutes 'eye_colour_id IS NULL' for gold's 'eye_colour_id = 1' (a specific real colour id, not equivalent to NULL); also drops the 'OR weight_kg = 0' half of gold's weight filter"
822,superhero,moderate,aggregate,Predicate error,Filter value error,colour='green'/alignment='bad' (case) don't match gold's stored 'Green'/'Bad'
829,superhero,challenging,aggregate,Predicate error,Filter value error,"publisher_name='DC' instead of the real stored value 'DC Comics', so the DC subquery returns no rows"
846,formula_1,moderate,retrieval,Schema linking,wrong table,substitutes results for qualifying (both per-race driver-performance tables)
850,formula_1,simple,retrieval,Other,missing/redundant DISTINCT,"missing DISTINCT, otherwise identical to gold"
854,formula_1,simple,retrieval,JOIN errors,missing table,"omits the races join, filtering on circuits.name='Australian Grand Prix' instead of races.name"
857,formula_1,simple,retrieval,JOIN errors,missing table,"omits the races join, filtering on circuits.name='Abu Dhabi Grand Prix' instead of races.name"
861,formula_1,simple,retrieval,Predicate error,Predicate semantic error,qualifying_3_time = '0:01:54' (wrong format) doesn't match the stored 'M:SS.mmm' format that gold's LIKE '1:54%' matches
865,formula_1,moderate,retrieval,Schema linking,wrong column,filters results.position IS NOT NULL instead of gold's results.time IS NOT NULL - a different real column with different NULL semantics for DNF drivers
866,formula_1,moderate,retrieval,Predicate error,Predicate semantic error,time='0:01:27' (wrong format) instead of gold's LIKE '1:27%' pattern match; also missing DISTINCT
868,formula_1,simple,retrieval,JOIN errors,missing table,"omits the races join, filtering on circuits.name='Malaysian Grand Prix' instead of races.name"
869,formula_1,moderate,retrieval,Schema linking,wrong table,substitutes constructorStandings for constructorResults (per-race points earned vs cumulative standings)
872,formula_1,simple,retrieval,Predicate error,Predicate semantic error,qualifying_3_time = '0:01:33' (wrong format) instead of gold's LIKE '1:33%' pattern
877,formula_1,moderate,retrieval,Predicate error,Predicate semantic error,"drops the results.time IS NOT NULL filter entirely, including DNF/non-finishing drivers gold excludes"
879,formula_1,moderate,retrieval,Predicate error,Predicate semantic error,"computes MAX(fastest_lap_speed) without CAST to REAL, so the comparison is a string/lexicographic max instead of numeric max, unlike gold's explicit CAST(...AS REAL)"
881,formula_1,moderate,aggregate,GROUP BY errors,wrong column,introduces an unneeded per-driver GROUP BY where gold computes one global aggregate; also selects driver names gold's output never includes
884,formula_1,moderate,retrieval,Predicate error,Predicate semantic error,"drops the month-matching condition entirely, collapsing to just the earliest race in the minimum year instead of gold's races matching both the year and month of the very first race"
894,formula_1,moderate,retrieval,Schema linking,wrong column,selects lt.time (a formatted string) instead of gold's lt.milliseconds in the output
896,formula_1,challenging,aggregate,Schema linking,wrong table,replaces driverStandings.position<>1 rate calculation with results + a nonsensical R.round=1 condition
897,formula_1,moderate,aggregate,GROUP BY errors,wrong column,"drops the GROUP BY forename/surname/nationality + ORDER BY COUNT(wins) DESC ranking, instead filtering to the row(s) with the overall MAX wins value via a subquery"
898,formula_1,simple,retrieval,Other,SELECT-list shape,"column order differs (name-columns before age vs gold's age-first), likely causing a positional evaluation mismatch"
902,formula_1,simple,retrieval,Schema linking,wrong table,replaces driverStandings (cumulative championship standing) with results.grid_position (starting grid position)
904,formula_1,moderate,retrieval,Schema linking,wrong table,substitutes results.fastest_lap_time (a per-race time string) for lapTimes.milliseconds (a per-lap numeric time)
915,formula_1,simple,retrieval,Schema linking,wrong column,subquery references date_of_birth directly on `results` (no join to drivers in that scope); overall query structure bears no resemblance to gold's simple oldest-driver lookup
930,formula_1,simple,retrieval,Schema linking,wrong column,"orders by results.position (finishing position) instead of filtering on results.rank=0 (fastest-lap rank flag), also collapsing gold's multi-row IN-subquery into a single ORDER BY/LIMIT 1"
937,formula_1,simple,retrieval,Predicate error,Filter value error,garbled race name 'AustChineseralian Grand Prix' instead of gold's 'Chinese Grand Prix'
940,formula_1,moderate,aggregate,Predicate error,Predicate semantic error,"drops the results.time IS NOT NULL filter, counting all entrants (including DNFs) instead of just drivers with a completed time"
944,formula_1,challenging,aggregate,Schema linking,wrong column,identifies the last-place driver via position = COUNT(*) instead of gold's positionOrder = MAX(positionOrder); position can have gaps/NULLs for non-classified finishers
950,formula_1,simple,retrieval,Schema linking,wrong table,substitutes constructorResults for constructorStandings
955,formula_1,challenging,aggregate,Schema linking,wrong table,substitutes driverStandings.position=1 (championship leader after the race) for results.position=1 (race winner); also averages races.time instead of results.milliseconds
959,formula_1,simple,retrieval,JOIN errors,missing table,"driverStandings.year doesn't exist; year lives on races, which isn't joined; also substitutes driverStandings.position=1 for gold's time-format filter"
962,formula_1,challenging,aggregate,Invalid SQL,Other execution error,"references alias `DR.driver_id` which was never declared in FROM/JOIN (drivers is aliased `D`, not `DR`)"
963,formula_1,moderate,aggregate,Predicate error,Predicate semantic error,compares lt.time (a 'M:SS.mmm' text string) via string `<` against '02:00.00' instead of gold's numeric seconds conversion - string comparison is lexicographic and doesn't match numeric ordering
967,formula_1,simple,aggregate,Predicate error,Filter value error,uses invented nationality value 'Netherlandic' instead of 'Dutch' (also applies the filter before the ORDER BY/LIMIT 3 instead of after)
972,formula_1,moderate,retrieval,Other,missing/redundant DISTINCT,"missing DISTINCT, otherwise equivalent to gold"
977,formula_1,simple,aggregate,Predicate error,Predicate semantic error,uses inclusive BETWEEN 50 AND 100 instead of gold's exclusive raceId>50 AND raceId<100; drops the 'time IS NOT NULL' requirement; assumes status_id=2 corresponds to 'Disqualified' via a subquery lookup
978,formula_1,simple,retrieval,Other,missing/redundant DISTINCT,"missing DISTINCT, otherwise identical to gold"
981,formula_1,moderate,retrieval,Other,wrong aggregate function or scaling,subquery selects MIN(date_of_birth) (oldest driver) instead of gold's youngest-driver selection; also lacks the outer ORDER BY date ASC LIMIT 1
989,formula_1,moderate,retrieval,Predicate error,Predicate semantic error,"filters on results.position=1 instead of gold's time LIKE '_:%:__.___' pattern match - different column, different condition"
990,formula_1,challenging,retrieval,Schema linking,wrong table,substitutes constructorStandings for results; also uses position=1 instead of gold's time-format pattern filter
994,formula_1,challenging,aggregate,JOIN errors,extra table,"adds an unnecessary constructorStandings join, which could silently drop constructor-race rows lacking a matching standings entry"
1001,formula_1,challenging,retrieval,Schema linking,wrong column,references q.round (qualifying has no round column) when round lives on the already-joined races table; also substitutes q.position=1 for gold's q3 IS NOT NULL + fastest-time ranking logic
1014,formula_1,challenging,aggregate,Schema linking,wrong table,"substitutes lapTimes (with a broken race_id=circuit_id join condition) for gold's races+results+circuits chain, and selects lap NUMBER instead of any time-based measure"
1025,european_football_2,moderate,aggregate,Predicate error,Filter value error,season='2016' instead of gold's '2015/2016'
1028,european_football_2,challenging,aggregate,Schema linking,wrong column,selects team_short_name instead of gold's team_long_name; also collapses the tie-preserving HAVING COUNT(*) = (SELECT MAX...) into ORDER BY COUNT(*) DESC LIMIT 1
1029,european_football_2,moderate,retrieval,Other,SELECT-list shape,adds an extra team_long_name column gold's SELECT list doesn't have
1030,european_football_2,moderate,aggregate,Predicate error,Filter value error,season='2016' instead of gold's '2015/2016'
1031,european_football_2,challenging,retrieval,Other,missing/redundant DISTINCT,missing DISTINCT (also selects an extra player_name column)
1032,european_football_2,moderate,aggregate,Nesting problem,HAVING clause mismatch,tie-preserving HAVING COUNT(m.id) = (SELECT MAX(match_count)...) collapsed to a plain ORDER BY/LIMIT 1
1035,european_football_2,simple,retrieval,Other,missing/redundant DISTINCT,"missing DISTINCT, otherwise identical to gold"
1036,european_football_2,challenging,aggregate,Other,missing/redundant DISTINCT,missing DISTINCT; a team can have multiple 2012 Team_Attributes snapshots
1037,european_football_2,challenging,aggregate,Other,missing/redundant DISTINCT,"uses COUNT(*)/SUM instead of gold's COUNT(DISTINCT id), double-counting players with multiple Player_Attributes rows"
1080,european_football_2,moderate,aggregate,Predicate error,Filter value error,attacking_work_rate='High' instead of gold's 'low'; also 'Left' case differs; COUNT(*) not deduped
1084,european_football_2,challenging,aggregate,Predicate error,Predicate semantic error,adds an extra attacking_work_rate='High' condition gold doesn't have; also defensive_work_rate case differs
1088,european_football_2,moderate,retrieval,Other,missing/redundant DISTINCT,outer query lacks DISTINCT; if Player has duplicate rows per player_api_id the un-deduped output would differ from gold's SELECT DISTINCT
1091,european_football_2,moderate,aggregate,Predicate error,Predicate semantic error,splits the League.name filter across country.name + a truncated league name ('Jupiler League') instead of gold's single exact match on 'Belgium Jupiler League'; also adds a vestigial Country join
1092,european_football_2,simple,aggregate,Nesting problem,HAVING clause mismatch,tie-preserving HAVING COUNT(t2.id) = (SELECT MAX(match_count)...) collapsed to ORDER BY COUNT(*) DESC LIMIT 1
1094,european_football_2,challenging,aggregate,Nesting problem,wrong sub-query,"omits gold's per-player 'most recent snapshot' CTEs (ORDER BY date DESC LIMIT 1), instead joining all historical Player_Attributes rows for each player without narrowing to the latest one"
1098,european_football_2,moderate,retrieval,Schema linking,wrong column,filters team_short_name='Ajax' instead of gold's team_long_name='Ajax'; also mixes MAX() with a non-aggregated column without GROUP BY
1102,european_football_2,moderate,retrieval,Predicate error,Predicate semantic error,"uses exact date='2016-06-23' instead of gold's SUBSTR(date,1,10)='2016-06-23'; Player_Attributes.date likely includes a time suffix so exact equality fails"
1103,european_football_2,moderate,retrieval,Predicate error,Predicate semantic error,"uses exact date='2016-02-04' instead of gold's SUBSTR(date,1,10)='2016-02-04'"
1105,european_football_2,moderate,retrieval,Predicate error,Predicate semantic error,uses exact date='2015-05-01' instead of gold's LIKE '2015-05-01%' pattern
1107,european_football_2,moderate,retrieval,JOIN errors,wrong column (key),joins Player_Attributes to Player via player_api_id instead of gold's player_fifa_api_id
1110,european_football_2,moderate,retrieval,Predicate error,Predicate semantic error,uses exact date='2010-02-22' instead of gold's LIKE '2010-02-22%' pattern
1113,european_football_2,moderate,retrieval,Predicate error,Predicate semantic error,uses exact date='2015-09-10' instead of gold's LIKE '2015-09-10%' pattern
1114,european_football_2,challenging,aggregate,JOIN errors,wrong column (key),joins Player_Attributes to Player via player_api_id instead of gold's player_fifa_api_id
1115,european_football_2,challenging,aggregate,JOIN errors,wrong column (key),joins on player_api_id (via Player) instead of gold's player_fifa_api_id
1116,european_football_2,simple,retrieval,Nesting problem,wrong sub-query,"missing DENSE_RANK() OVER (ORDER BY height DESC) window function; uses ORDER BY/LIMIT 10 instead, which drops ties and returns 10 rows not all rank=1 ties"
1122,european_football_2,simple,aggregate,Schema linking,wrong column,subquery ranks by strength instead of gold's overall_rating
1130,european_football_2,moderate,retrieval,Predicate error,Filter value error,chance_creation_passing_class='Low' instead of gold's 'Safe'; also missing DISTINCT
1136,european_football_2,moderate,aggregate,Predicate error,Predicate semantic error,adds an extra attacking_work_rate='High' condition gold doesn't have; also uses COUNT(*) instead of COUNT(DISTINCT player_api_id)
